Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Maranhao,Lucas,Chute,0,1,76,22,77,51
Pinheiro,Rayandeson,Chute,0,6,61,56,71,64
Sampaio,Thiago Rosa,Pass,0,0,92,28,94,49
Sampaio,Thiago,Pass,0,0,80,80,95,44
Imperatriz,Fabricio,Pass,0,0,97,88,92,57
Imperatriz,WYLDSON,Pass,0,0,98,69,97,43
Sampaio,STENCE,Pass,0,13,62,57,86,40
Iape,Emerson,Pass,0,0,27,7,72,9
Sampaio,Dodo,Pass,0,0,48,73,82,30
Maranhao,Ryan,Pass,0,0,78,71,93,67
Sampaio,Wendell,Pass,0,11,76,23,91,28
Pinheiro,BASTICO,Pass,0,11,88,35,84,40
Imperatriz,Negueba,Pass,0,21,83,9,94,43
Imperatriz,WESLLEY,Pass,0,21,98,72,96,35
Imperatriz,Henrique S,Pass,0,21,100,98,96,44
Imperatriz,Henrique S,Pass,0,21,99,2,96,51
